% Input-file of boundary-elements for Dirichlet-boundary mesh shown  
% in Fig. 6 of the paper "Remarks around 50 lines of Matlab: 
% Short finite element implementation" by J. Alberty, C. Carstensen 
% and S. A. Funken.
%
% boundary-element  /  1-node  /  2-node  /  3-node  
 590 3075  200  268
 591 1050 1875 2885
 592 1873 2691 1875
 593 2885 1875 2691
 594 1873 1875 1874
 595 1050  268 1875
 596 1874 1875  268
 597 3179 2698  239
 598 2699 3316 2698
 599  239 2698 3316
 600 1598 2658 2927
 601 2657 2659 2658
 602 2927 2658 2659
 603 2657  256 2659
 604  254 2661  256
 605 2659  256 2661
 606 2483 2485 2484
 607 3179 2655 2485
 608 2484 2485 2655
 609 2650 2654 3383
 610 2653 2655 2654
 611 3383 2654 2655
 612 2657  122 3385
 613  120 2468  122
 614 3385  122 2468
 615  197  146 3175
 616  144 3355  146
 617 3175  146 3355
 618  144  121 3355
 619  120  122  121
 620 3355  121  122
 621 2662 2664 2663
 622  197 3075 2664
 623 2663 2664 3075
 624 3651 2903 2885
 625 2904 2489 2903
 626 2885 2903 2489
 627 3179 2485 3702
 628 2483 3705 2485
 629 3702 2485 3705
 630 2522 2525 3696
 631 2650  252 2525
 632 3696 2525  252
 633  197 2664  146
 634 2662  145 2664
 635  146 2664  145
 636 1050 2489 2663
 637 2904 3698 2489
 638 2663 2489 3698
 639 2650 2525 2654
 640 2522 2523 2525
 641 2654 2525 2523
 642  250 2468 3696
 643  120 2466 2468
 644 3696 2468 2466
