%COORDINATES.DAT  data file for vertices.
% Input-file of vertices for mesh shown in Fig. 7 of the paper 
% "Matlab-Implementation of the Finite Element Method in Elasticity" by
% J. Alberty, C. Carstensen, S. A. Funken, and R. Klose.
%
% x-coordinate   / y-coordinate
% 
 2.00000000   1.37500000
 2.75000000   1.12500000
 2.62500000   1.25000000
 3.00000000   1.12500000
 2.87500000   1.25000000
 3.00000000   1.37500000
 2.87500000   1.50000000
 2.75000000   1.37500000
 2.62500000   1.50000000
 2.75000000   1.62500000
 2.62500000   1.75000000
 2.50000000   1.62500000
 3.00000000   1.62500000
 2.87500000   1.75000000
 3.00000000   1.87500000
 2.87500000   2.00000000
 2.75000000   1.87500000
 2.62500000   2.00000000
 2.50000000   1.87500000
 2.25000000   1.62500000
 2.12500000   1.75000000
 2.00000000   1.62500000
 2.37500000   1.75000000
 2.37500000   2.00000000
 2.25000000   1.87500000
 2.12500000   2.00000000
 2.00000000   1.87500000
 1.24888270   1.12388270
 1.12388270   1.24888270
 1.50000000   1.12500000
 1.37462760   1.24962760
 1.50000000   1.37500000
 1.37500000   1.50000000
 1.24962760   1.37462760
 1.12500000   1.50000000
 1.75000000   1.12500000
 1.62500000   1.25000000
 1.87500000   1.25000000
 1.87500000   1.50000000
 1.75000000   1.37500000
 1.62500000   1.50000000
 1.75000000   1.62500000
 1.62500000   1.75000000
 1.50000000   1.62500000
 1.87500000   1.75000000
 1.87500000   2.00000000
 1.75000000   1.87500000
 1.62500000   2.00000000
 1.50000000   1.87500000
 1.25000000   1.62500000
 1.12500000   1.75000000
 1.37500000   1.75000000
 1.37500000   2.00000000
 1.25000000   1.87500000
 1.12500000   2.00000000
 2.25000000   2.12500000
 2.12500000   2.25000000
 2.00000000   2.12500000
 2.50000000   2.12500000
 2.37500000   2.25000000
 2.50000000   2.37500000
 2.37500000   2.50000000
 2.25000000   2.37500000
 2.12500000   2.50000000
 2.00000000   2.37500000
 2.75000000   2.12500000
 2.62500000   2.25000000
 3.00000000   2.12500000
 2.87500000   2.25000000
 3.00000000   2.37500000
 2.87500000   2.50000000
 2.75000000   2.37500000
 2.62500000   2.50000000
 2.75000000   2.62500000
 2.62500000   2.75000000
 2.50000000   2.62500000
 3.00000000   2.62500000
 2.87500000   2.75000000
 3.00000000   2.87500000
 2.87500000   3.00000000
 2.75000000   2.87500000
 2.62500000   3.00000000
 2.50000000   2.87500000
 2.25000000   2.62500000
 2.12500000   2.75000000
 2.00000000   2.62500000
 2.37500000   2.75000000
 2.37500000   3.00000000
 2.25000000   2.87500000
 2.12500000   3.00000000
 2.00000000   2.87500000
 1.25000000   2.12500000
 1.12500000   2.25000000
 1.00000000   2.12500000
 1.50000000   2.12500000
 1.37500000   2.25000000
 1.50000000   2.37500000
 1.37500000   2.50000000
 1.25000000   2.37500000
 1.12500000   2.50000000
 1.00000000   2.37500000
 1.75000000   2.12500000
 1.62500000   2.25000000
 1.87500000   2.25000000
 1.87500000   2.50000000
 1.75000000   2.37500000
 1.62500000   2.50000000
 1.75000000   2.62500000
 1.62500000   2.75000000
 1.50000000   2.62500000
 1.87500000   2.75000000
 1.87500000   3.00000000
 1.75000000   2.87500000
 1.62500000   3.00000000
 1.50000000   2.87500000
 1.25000000   2.62500000
 1.12500000   2.75000000
 1.00000000   2.62500000
 1.37500000   2.75000000
 1.37500000   3.00000000
 1.25000000   2.87500000
 1.12500000   3.00000000
 1.00000000   2.87500000
 0.25000000   2.12500000
 0.12500000   2.25000000
 0.00000000   2.12500000
 0.50000000   2.12500000
 0.37500000   2.25000000
 0.50000000   2.37500000
 0.37500000   2.50000000
 0.25000000   2.37500000
 0.12500000   2.50000000
 0.00000000   2.37500000
 0.75000000   2.12500000
 0.62500000   2.25000000
 0.87500000   2.25000000
 0.87500000   2.50000000
 0.75000000   2.37500000
 0.62500000   2.50000000
 0.75000000   2.62500000
 0.62500000   2.75000000
 0.50000000   2.62500000
 0.87500000   2.75000000
 0.87500000   3.00000000
 0.75000000   2.87500000
 0.62500000   3.00000000
